model,strategy,pretrained,epochs,batch_size,image_size,accuracy,precision,recall,f1,jaccard,loss
custom_cnn,e2e_aug,False,20,32,128,0.94,0.9464285714285714,0.94,0.939783219590526,0.8864285714285715,0.17279761999845505
mobilenet_v2,e2e_aug,False,20,32,128,0.94,0.9428341384863124,0.94,0.9399038461538463,0.8866310160427807,0.14008934751152993
