epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.5683018627166748,0.708,1.089726085662842,0.5,0.3333333333333333
2,0.44673687148094177,0.798,1.2670513963699341,0.5,0.3333333333333333
3,0.40412905931472776,0.838,1.1557916355133058,0.5,0.3333333333333333
4,0.37193392968177796,0.844,0.7351046133041382,0.66,0.6155585707824514
5,0.34618512892723086,0.864,0.22335173130035402,0.9,0.898989898989899
6,0.31484759044647215,0.88,0.3917053031921387,0.82,0.8139727159983464
7,0.264766126871109,0.898,0.3047900986671448,0.89,0.8886526976414617
8,0.236855597615242,0.906,0.18460890293121338,0.92,0.9197109594540345
9,0.24688108837604522,0.912,0.15128487050533296,0.94,0.9399038461538463
10,0.2148976126909256,0.914,0.43492361783981326,0.82,0.8139727159983464
11,0.2082484729886055,0.92,0.5107886409759521,0.82,0.8139727159983464
12,0.1912363052368164,0.926,0.36148202419281006,0.86,0.8572011423908608
13,0.173081269800663,0.948,0.17237396478652955,0.91,0.9095568284594513
14,0.17644722318649292,0.94,0.16919511139392854,0.92,0.9194847020933978
15,0.21809759140014648,0.908,0.1106439247727394,0.96,0.9599358974358974
16,0.1578114601969719,0.934,0.1427830672264099,0.95,0.949954959463517
17,0.1419783387184143,0.946,0.37961617946624754,0.89,0.8886526976414617
18,0.16368651020526886,0.938,0.4079866695404053,0.83,0.8249407887962106
19,0.13100726985931396,0.964,0.17126542568206787,0.94,0.939783219590526
20,0.1154424341917038,0.968,0.09440049692988396,0.97,0.9699729756781104
